Nombre técnico,Ticket asociado
account_reverse_active_patch,4132
add_fields_diaries,
res_currency_cr_adapter,
bi_direct_connecter,
l10n_cr_country_codes,
two_factor_otp_auth,
bank_statement_ref,5176
fetch_invoice_from_mail,
add_fields_fe,299
stock_limitation,
cr_electronic_invoice,
internal_transfer_import_serials,
account_alrotek_fields,
account_report_modifications,6011
asignar_xmls_facturas,
cambios_rrhh,
cierre_caja,
gastos,
machote_factura_edify,
machote_planillas,
modificar_campo_empleado_gastos modificar_campo_empleado_Gastos,
multi_company_hide_views,
premigration_FE Pregmigrar FE,
product_amounts product amounts no_summary,
recibo_factura,
recibo_factura_pago,
reporte_comisiones,
reporte_cxc_cxp Reporte de cuentas por cobrar y pagar,
stock_analytic_account_inherit,
O_AT_Base,
O_Chele O-LA - Chele,
O_PDF_AccountPayment,
O_Retencion,
account_invoice_picking Movilidad de inventario en facturas,9861
dynamic_print_cheques,9215
l10n_tn_base,9216
o_chele_reporte O-LA - Chele Reportes,9105
web_domain_field,
address_backend,-
base_territory,-
docnum_ref_sap,-
fieldservice,-
fieldservice_route,-
helpdesk_dashboard_admin,6124
hr_payroll_report_modifications ,7764
kpis_module,6124
nextconnector,-
price_at_zero,-
sale_report_multicurrency,2646
state_order_sap,
compute_number_days_in_leaves,6006
hr_employee_automatic_vacations,6006
hr_payroll_information_and_last_salaries,6006
hr_payroll_report,6006
common_connector_library,9434
ctln_employee_supplier_payment_sv,9410
iatl_hr_deduction,9114
limit_credit_partner,9471
move_liquidation,9286
pw_pos_salesperson,8065
shopify_ept,9434
website_floating_whatsapp_icon,8168
wk_pos_sales_commission,8065
submodulo FE,
product_fix_variants,
margin_cost_in_invoice,
res_currency_cr_adapter,
multi_company_hide_views,
followup_report_modification,
dfx_sale_changes,
payment_credomatic,
l10n_cr_country_codes,
report_xlsx,
product_no_create,
date_planned_oc,
sh_website_tnc,
compras,
sale_line_date_planned,
reporte_cxc_cxp,
td_generico_gt,
stock_limitation,
cr_electronic_invoice,
add_button_cancel,
clients_reports_decimals,
sales_margin_percentage,
credit_limit,
limites,
bi_connecter,
asignar_xmls_facturas,
bn_employee_supplier_payment_trf,
cr_electronic_invoice_pos,
inteligos_fel,
exchange_rate_conversion,8183
discounts_by_amount,6757
web_ir_actions_act_multi,-
purchase_request,-
helpdesk_lite,-
web_domain_field,-
kanban,-
purchase_landed_cost,-
deltatech_pricelist,-
web_listview_sticky_header,1923
ca_barcode_labels,-
stock_picking_invoice_link,
stock_quant_manual_assign,-
product_volume,-
report_xlsx,
stock_landed_costs_currency,-
zoho_mail_fix_spt,-
report_batch,
average_landed_cost,-
orden_abierta,-
stock_inventory_cost_info,-
scan_by_lot,-
stock_picking_purchase_order_link,-
location_domain,-
purchase_discount,-
stock_qty_block,1923
stock_move_line_view_new_fields,-
current_average_cost,-
stock_move_location,-
report_pdf_options,-
ov_sale_status,-
kits_base,-
web_sheet_full_width,-
web_dialog_size,-
account_invoice_production_lot,-
cambiar_descripcion,
account_move_fill_account_lines,
account_reverse_active_patch,
invoice_pdf_format,
purchase_number,
bac_employee_supplier_payment_prn,7089
bn_employee_supplier_payment,7089
payment_fields,9815
submodulo FE,
employee_timesheet_compute,
machote_factura_edify,
recibo_factura,
machote_planillas,
sale_timesheet_descriptions_lines,
consecutivo_cliente,
gl_foreign_currency,
cierre_caja,
leave_vacation,
activos_edify,
reportes_multimoneda,
invoice_pdf_format,
cambios_rrhh,
planning_hr_holiday_exclude,
recibo_factura_pago,
employee_holiday_button,
add_fields_fe_edify,
res_currency_bac,
campo_tipo_cambio_Factura_cliente,
employee_documents_expiry,-
fl_birthday_wish,-
compute_number_days_in_leaves,-
report_xlsx,7438
limit_credit_partner,7487
hr_payroll_bonus_report,9769
res_partner_commissions,7438
cierre_caja,7486
iatl_hr_deduction,9312
route,7442
hr_payslip_salary_lien,9769
purchase_discount,8061
account_export_client,7436
hr_payroll_report_custom,9318
repair_guarantee_seal,8075
product_sale_margin,9137
hr_employee_automatic_vacations,-
hr_payroll_information_and_last_salaries,-
hr_payroll_report,-
web_widget_image_paint,8125
account_notification_manager,3432
opportunity_to_invoiced_stage,8913
web_domain_field,8125
compute_number_days_in_leaves,-
hr_employee_last_salaries,
vehicle_state_report,9033
hr_employee_commission,3581
limit_discount,3412
report_all_banks,7298
product_status,4931
crm_invoice,5605
limit_credit_partner,3412
unique_default_code,7347
requirements_fields,
stock_requiere_seguimiento,3926
bank_statement_ref,-
res_currency_yuan,4340
vehicle_workshop,8125
portal_vehicle,9320
account_aux_tax_report,7296
hr_employee_automatic_holiday,-
sale_royalties,3431
reporte_cxc_cxp,7300
purchase_discount,7108
fleet_and_crm_modifications,8158
pago_por_correo,6067
partner_crm_alert,-
amount_discount,6063
group_financial_statements,5123
electric_vehicles,3324
fields_and_reports,7330
product_sale_margin,4933
settlements_employee,7074
hr_employee_automatic_vacations,-
crm_permission,5524
bn_employee_supplier_payment_trf,-
hr_payroll_report,4208
contacts_permisions,
ks_sticky_pivot_view,
fetch_mail_visibility_in _company_,
sh_event_show_backend,
premigration_FE,
compute_number_days_in_leaves,
add_fields_diaries,
machote_planillas,
account_invoice_report,
hr_leave,
sh_event_show_frontend,
bac_employee_supplier_payment_prn,
hr_payroll_bonus_report,
invoice_format_pdf,
product_multi_company,
sh_snippet_adv,
iatl_hr_deduction,
suscriptions_add_fields,
last_salaries,
auto_action_post,
automatic_vacations_by_employee_first_day,
base_multi_company,
hr_payslip_salary_lien,
mail_template_multi_company,
reporte_cxc_cxp,
bn_employee_supplier_payment,
maintenance_plan,
pago_por_correo,
partner_crm_alert,
partner_multi_company,
base_maintenance,
pos_multi_currency_spei,
fl_outgoing_mail_server_company,
fix_res_partner,
subscription_breach,
maintenance_project_plan,
maintenance_plan_activity,
settlements_employee,
biogym_new_fields,
crm_facebook_leads,
maintenance_project,
account_move_partner_parent,
ob_pos_payment_ref,-
add_fields_diaries,9717
account_bank_ref,9776
account_invoice_picking,9671
account_cash_deposit,10083
product_variant_sale_price,8370
woo_commerce_ept,9753
pragtech_woo_commerce,8128
common_connector_library,9753
purchase_discount,10119
none,
ecom_invoice,8324
report_general_ledger_total,8192
employee_documents_expiry,
hr_organizational_chart,
fl_birthday_wish,9019
helpdesk_inherit,6473
compute_number_days_in_leaves,
sync_statistics,6505
change_currency,5315
helpdesk_team_block,
automatic_vacations_by_employee_first_day,
hr_employee_automatic_holiday,
knowsystem,7421
hr_payslip_salary_lien,
